0 5 {}
0 15 {}
0 19 {}
0 39 {}
0 48 {}
0 51 {}
0 64 {}
1 5 {}
1 6 {}
1 7 {}
1 10 {}
1 11 {}
1 12 {}
1 14 {}
1 15 {}
1 16 {}
1 17 {}
1 18 {}
1 20 {}
1 21 {}
1 25 {}
1 26 {}
1 28 {}
1 30 {}
1 31 {}
1 32 {}
1 33 {}
1 39 {}
1 40 {}
1 43 {}
1 44 {}
1 45 {}
1 48 {}
1 55 {}
1 62 {}
1 64 {}
1 66 {}
1 67 {}
1 71 {}
1 76 {}
1 80 {}
1 82 {}
1 83 {}
1 86 {}
1 92 {}
1 93 {}
1 96 {}
1 98 {}
2 5 {}
2 6 {}
2 7 {}
2 8 {}
2 10 {}
2 12 {}
2 13 {}
2 16 {}
2 19 {}
2 21 {}
2 23 {}
2 27 {}
2 29 {}
2 30 {}
2 35 {}
2 38 {}
2 47 {}
2 50 {}
2 53 {}
2 63 {}
2 65 {}
2 70 {}
2 72 {}
2 76 {}
2 77 {}
2 79 {}
2 81 {}
2 88 {}
2 94 {}
3 5 {}
3 6 {}
3 9 {}
3 15 {}
3 16 {}
3 17 {}
3 18 {}
3 20 {}
3 21 {}
3 24 {}
3 30 {}
3 34 {}
3 41 {}
3 44 {}
3 51 {}
3 52 {}
3 53 {}
3 56 {}
3 58 {}
3 60 {}
3 68 {}
3 79 {}
3 87 {}
4 5 {}
4 6 {}
4 7 {}
4 8 {}
4 10 {}
4 14 {}
4 16 {}
4 22 {}
4 43 {}
4 45 {}
4 60 {}
4 69 {}
4 75 {}
4 82 {}
4 90 {}
5 6 {}
5 7 {}
5 8 {}
5 9 {}
5 11 {}
5 12 {}
5 13 {}
5 14 {}
5 15 {}
5 16 {}
5 17 {}
5 19 {}
5 23 {}
5 24 {}
5 25 {}
5 27 {}
5 28 {}
5 29 {}
5 33 {}
5 34 {}
5 35 {}
5 39 {}
5 40 {}
5 41 {}
5 43 {}
5 47 {}
5 50 {}
5 51 {}
5 54 {}
5 55 {}
5 56 {}
5 57 {}
5 61 {}
5 65 {}
5 66 {}
5 75 {}
5 77 {}
5 78 {}
5 81 {}
5 83 {}
5 88 {}
5 95 {}
5 97 {}
5 98 {}
6 7 {}
6 8 {}
6 9 {}
6 10 {}
6 11 {}
6 12 {}
6 14 {}
6 17 {}
6 18 {}
6 22 {}
6 23 {}
6 24 {}
